district,mann_kendall_tau,p_value,trend_direction,n_observations
Karakalpakstan,-0.001441306791107326,0.9597682354378428,no_trend,548
Khorezm,-0.019743712096143968,0.4895396396160162,no_trend,548
Navoi,0.006553701194368408,0.8186073289614642,no_trend,548
Bukhara,0.013708047101051639,0.6314465773465969,no_trend,548
Kashkadarya,0.006739623697354821,0.8135300048647984,no_trend,548
Surkhandarya,-0.020434449426098844,0.4745476836325532,no_trend,548
Samarkand,0.03497089103950599,0.2209608207250967,no_trend,548
Jizzakh,-0.02847455140310058,0.31910973660622843,no_trend,548
Syrdarya,0.013574026823215235,0.6347725445142863,no_trend,548
Tashkent,0.026730902801740498,0.34950119315902106,no_trend,548
Namangan,0.011932808284654494,0.6762614943070617,no_trend,548
Andijan,0.0017152487734628907,0.9521397349163828,no_trend,548
Fergana,-0.023728180320266905,0.40627609829448064,no_trend,548
