City,Period,SUHI_Day,SUHI_Night,LST_Day_Urban,LST_Day_Rural,LST_Night_Urban,LST_Night_Rural,NDVI_Urban,NDVI_Rural,NDBI_Urban,NDBI_Rural,NDWI_Urban,NDWI_Rural,Built_Prob_Urban,Built_Prob_Rural,Green_Prob_Urban,Green_Prob_Rural,Water_Prob_Urban,Water_Prob_Rural,Urban_Pixel_Count,Rural_Pixel_Count
Tashkent,2018,,,,26.762898582579172,,8.474433417519467,,0.20794744635889115,,0.06856501405522057,,-0.3168004581303437,,0.04118648859620715,,0.0728376852006195,,0.036083844725841856,0.0,646.0
Nukus,2018,,,,,,,,,,,,,,,,,,,0.0,0.0
Andijan,2018,,,26.34636440900943,,11.368489724535443,,0.5013499330360606,,-0.16836069937223155,,-0.5168618218561167,,0.1618469062476919,,0.18776978226649776,,0.039264295893938365,,294.0,0.0
Bukhara,2018,,,,,,,,,,,,,,,,,,,0.0,0.0
Jizzakh,2018,,,,,,,,,,,,,,,,,,,0.0,0.0
Qarshi,2018,,,,,,,,,,,,,,,,,,,0.0,0.0
Navoiy,2018,,,,,,,,,,,,,,,,,,,0.0,0.0
Namangan,2018,,,,26.996994605684158,,10.376454864807375,,0.4539174125430826,,-0.1359791904763909,,-0.48239599419979323,,0.035413008906319,,0.2753907629903398,,0.037466173582832114,0.0,1202.0
Samarkand,2018,,,,,,,,,,,,,,,,,,,0.0,0.0
Termez,2018,,,,,,,,,,,,,,,,,,,0.0,0.0
Gulistan,2018,,,,,,,,,,,,,,,,,,,0.0,0.0
Nurafshon,2018,,,,26.585004042741062,,9.194122337409553,,0.19598489219311313,,0.06607293817637674,,-0.3041693361150457,,0.041033774082970036,,0.07347438846309719,,0.03540002549565393,0.0,603.0
Fergana,2018,,,,,,,,,,,,,,,,,,,0.0,0.0
Urgench,2018,,,25.25337152682832,,7.095044993089039,,0.27867517502924394,,-0.07152451255983325,,-0.36455919201511605,,0.2003241836023238,,0.0976114402204836,,0.04233711313933937,,405.0,0.0
