City,Period,SUHI_Day,SUHI_Night,LST_Day_Urban,LST_Day_Rural,LST_Night_Urban,LST_Night_Rural,NDVI_Urban,NDVI_Rural,NDBI_Urban,NDBI_Rural,NDWI_Urban,NDWI_Rural,Urban_Prob,Rural_Prob,Urban_Pixel_Count,Rural_Pixel_Count,Data_Quality
Tashkent,2018,0.16642520551920015,1.0004234429649266,29.877570356960952,29.71114515144175,9.666129802949948,8.665706359985021,0.20920432284987758,0.20626865355292887,0.0708584208370334,0.06484918754539995,-0.3184500595739092,-0.3143438361784725,3.2416367039986564,0.0365039506284384,476.0,3587.0,Good
Nukus,2018,1.6270976274983724,0.43257099298861235,35.550780629954666,33.92368300245629,6.1276940234046355,5.695123030416023,0.2942984033960738,0.2698387569407671,-0.07780996867487235,-0.05772610424156277,-0.3573986888371417,-0.3389285661528366,2.8650159066525096,0.05927772681464955,579.0,53024.0,Good
Andijan,2018,2.0674267385859153,0.3817934438915316,38.091965869866165,36.02453913128025,11.507021758152218,11.125228314260687,0.49921318657670766,0.4890416288197297,-0.16607021227279548,-0.16672905098012436,-0.514251372737439,-0.5030378451699771,4.85748920973094,1.3687177512118132,2696.0,27977.0,Good
Bukhara,2018,-3.1452352857467005,0.3041468861233927,33.308851433893416,36.45408671964012,9.04930436278432,8.745157476660927,0.09762964286174622,0.09708758687726715,0.09722636515591887,0.09722484874609193,-0.2035049163228793,-0.20231132869459897,1.174354857299674,0.027824994005317547,1776.0,9870.0,Good
Samarkand,2018,2.767325192327114,1.1266050360342277,38.32270840143536,35.55538320910824,9.490576768025013,8.363971731990786,0.24088662796835128,0.24804952266951585,-0.015456635437595522,-0.018185703145092293,-0.31333164376534145,-0.3183473126612174,2.687319786704699,0.18568553101418508,733.0,3932.0,Good
Namangan,2018,0.24099404763340004,-0.4161803997826876,37.046525239235926,36.805531191602526,9.92540697474,10.341587374522687,0.44920013251462176,0.44931604024025174,-0.13048469337748522,-0.1399734994451729,-0.4816223530573077,-0.47598857334775085,4.108574174391678,0.4372883525007483,1067.0,30427.0,Good
Jizzakh,2018,1.5169162430293142,1.1267934902918082,37.88191445668539,36.36499821365607,11.119166682163874,9.992373191872066,0.3011481538414955,0.3003530126197617,-0.05669215934661528,-0.0537668176775539,-0.36421638913452625,-0.3646892639485036,4.776448810783525,0.21333859660892812,48.0,1284.0,Good
Qarshi,2018,-0.7967503253193442,1.3906424296415185,39.04524260999126,39.84199293531061,11.151690027107296,9.761047597465778,0.18610549491902575,0.1905468359112984,0.035419694126472716,0.03260256288750256,-0.28099026109360586,-0.28516597158277385,2.246360116770446,0.028180787580534418,119.0,1438.0,Good
Navoiy,2018,-0.08028951264220296,0.7429344376575955,33.962420770644776,34.04271028328698,9.457052613080208,8.714118175422612,0.11318072307040611,0.1184890839819205,0.10436409015583577,0.10115491663834597,-0.2245515562964028,-0.22867819052352256,2.5214341287396693,0.03897969781857858,276.0,3247.0,Good
Termez,2018,-0.29492181723717437,0.40523007796165444,37.20496311067438,37.49988492791155,12.150096514691384,11.74486643672973,0.22539964723206762,0.23121414097852971,0.00900822090436156,0.003277078885031807,-0.3101800412884301,-0.3143325326516169,2.130990156352575,0.022313627070238453,101.0,4783.0,Good
Gulistan,2018,0.6862737615861931,0.6650594830662229,33.49809258445342,32.811818822867224,11.836100136221058,11.171040653154835,0.25488403297728063,0.2534679706989014,-0.044162761338153125,-0.03988873588788129,-0.3421939646555284,-0.34166699183405735,2.634230292483768,0.020562923001660034,138.0,15757.0,Good
Nurafshon,2018,-0.35393977366395646,0.14576037885430715,31.715508622284542,32.0694483959485,9.637198449228464,9.491438070374157,0.19321678250902,0.1936274562445775,0.06773238031231948,0.0637632042590339,-0.3017055933812767,-0.30126931329242873,2.176335097038672,0.038416198280838615,100.0,4494.0,Good
Fergana,2018,3.395128076026616,1.8995864962027422,40.0799724656903,36.68484438966368,12.877125490648234,10.977538994445492,0.45049919834988533,0.44629477871219037,-0.15886496217124596,-0.15440831993771678,-0.46866910050208727,-0.46561567453235625,3.536685760992729,0.8117786601951245,102.0,25995.0,Good
Urgench,2018,0.27645738632140393,0.4843675531438665,32.220291018631926,31.943833632310522,7.282984134622305,6.798616581478439,0.27978680372789566,0.25344269292180144,-0.07260474402621521,-0.04275020233823795,-0.3654155975312735,-0.34641210935442074,2.6505354968584247,0.054560014310435626,1542.0,56506.0,Good
