City,Analysis_Period,Years_Span,SUHI_Day_Change,SUHI_Night_Change,LST_Day_Urban_Change,LST_Night_Urban_Change,LST_Day_Rural_Change,LST_Night_Rural_Change,NDVI_Urban_Change,NDVI_Rural_Change,SUHI_Day_Baseline,SUHI_Night_Baseline,SUHI_Day_Latest,SUHI_Night_Latest,Urban_Pixels_Base,Rural_Pixels_Base,Urban_Pixels_Latest,Rural_Pixels_Latest
Tashkent,2019_to_2024,5,,,,,,,,,,,,,0.0,2.0,0.0,0.0
Nukus,2019_to_2024,5,,,,,,,,,,,,,206.0,0.0,0.0,0.0
Andijan,2019_to_2024,5,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Bukhara,2019_to_2024,5,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Jizzakh,2019_to_2024,5,,,-0.9997910708462499,2.4118922363900683,,,-0.019127926357137837,,2.535389925228486,-0.004529552002306758,,,19.0,2.0,20.0,0.0
Qarshi,2019_to_2024,5,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Navoiy,2019_to_2024,5,2.1618953797139078,0.45731311523671536,0.33989544837846,1.75131335937734,-1.8219999313354478,1.2940002441406246,0.0006199491447915484,0.003699308633804327,-1.6897702544631557,-1.3906390494360377,0.4721251252507521,-0.9333259341993223,144.0,2.0,144.0,5.0
Namangan,2019_to_2024,5,,,-1.0932376984682577,1.186196006475214,,,0.04933828051838113,,-1.9831011889466268,-0.5940330851414544,,,358.0,1.0,358.0,0.0
Samarkand,2019_to_2024,5,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Termez,2019_to_2024,5,,,-0.0660014488775218,0.6034071477236562,,,0.008591155001871964,,,,,,63.0,0.0,63.0,0.0
Gulistan,2019_to_2024,5,-0.18970400815703314,-0.8434420583533218,0.14550432835521576,1.3190580648296102,0.3352083365122489,2.162500123182932,0.0030371782877601505,0.014517616791029753,1.9660084189520965,-0.3906965189593734,1.7763044107950634,-1.2341385773126952,171.0,16.0,172.0,3.0
Nurafshon,2019_to_2024,5,,,,,-1.5349998474121094,3.1600003242492676,,0.010430246591567993,,,,,0.0,2.0,0.0,1.0
Fergana,2019_to_2024,5,,,-1.4319866429204495,0.370756811980101,,,0.05073098545120347,,,,,,48.0,0.0,48.0,0.0
Urgench,2019_to_2024,5,,,,,,,,,,,,,0.0,0.0,0.0,0.0
