city_name,lat,lon,buffer,samples
Tashkent,41.2995,69.2401,10000,1000
Samarkand,39.6542,66.9597,10000,1000
Namangan,40.9983,71.6726,10000,1000
Andijan,40.7821,72.3442,10000,1000
Nukus,42.4731,59.6103,10000,1000
Bukhara,39.7748,64.4286,10000,1000
Qarshi,38.8606,65.7887,10000,1000
Kokand,40.5219,70.9428,10000,1000
Margilan,40.4731,71.7244,10000,1000
Urgench,41.5506,60.6317,10000,1000
Fergana,40.3842,71.7843,10000,1000
Jizzakh,40.1158,67.8422,10000,1000
Sirdaryo,40.8375,68.6736,10000,1000
Termez,37.2242,67.2783,10000,1000
